"ScalingFactors","observationPeriods","StatVar","Units","MeasurementMethods","NumPlaces","MinDate"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceAmericanIndianOrAlaskaNativeAlone","[]","[]","108190","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceHispanicOrLatino","[]","[]","108163","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceBlack","[]","[]","108158","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Male_Black_VictimTypeHarassedOrBullied","[]","[]","108111","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceAsian","[]","[]","108173","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Female_TwoOrMoreRaces_VictimTypeHarassedOrBullied","[]","[]","108143","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Male_Asian_VictimTypeHarassedOrBullied","[]","[]","108148","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_DisabilityServedUnderSection504_SuspendedOrExpelled_Male","[]","[]","108184","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_DisabilityServedUnderDisabilitiesEducationAct_SuspendedOrExpelled_Female","[]","[]","108155","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceTwoOrMoreRaces","[]","[]","108175","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceAmericanIndianOrAlaskaNativeAlone","[]","[]","108185","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Female_AmericanIndianOrAlaskaNativeAlone_VictimTypeHarassedOrBullied","[]","[]","108170","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_DisabilityServedUnderDisabilitiesEducationAct_Female_VictimTypeHarassedOrBullied","[]","[]","108118","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Male","[]","[]","108203","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Female_Asian_VictimTypeHarassedOrBullied","[]","[]","108152","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Female_Black_VictimTypeHarassedOrBullied","[]","[]","108120","2014"
"[]","[]","Count_Student_BiasMotivationGender_Male_VictimTypeHarassedOrBullied","[]","[]","108194","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Male_TwoOrMoreRaces_VictimTypeHarassedOrBullied","[]","[]","108143","2014"
"[]","[]","Count_Student_BiasMotivationGender_DisabilityServedUnderDisabilitiesEducationAct_Female_VictimTypeHarassedOrBullied","[]","[]","108120","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Female","[]","[]","106000","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_DisabilityServedUnderDisabilitiesEducationAct_SuspendedOrExpelled_Male","[]","[]","108151","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceAmericanIndianOrAlaskaNativeAlone","[]","[]","108185","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Male_VictimTypeHarassedOrBullied","[]","[]","108195","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_DisabilityServedUnderDisabilitiesEducationAct_SuspendedOrExpelled_Male","[]","[]","108151","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Female_TwoOrMoreRaces_VictimTypeHarassedOrBullied","[]","[]","108144","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceAmericanIndianOrAlaskaNativeAlone","[]","[]","108182","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Female_HispanicOrLatino_VictimTypeHarassedOrBullied","[]","[]","108122","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Male_VictimTypeHarassedOrBullied","[]","[]","108194","2014"
"[]","[]","Count_Student_Alleged_BiasMotivationDisability_HarassmentOrBullying","[]","[]","107970","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceTwoOrMoreRaces","[]","[]","108165","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_DisabilityServedUnderDisabilitiesEducationAct_SuspendedOrExpelled_Female","[]","[]","108164","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceTwoOrMoreRaces","[]","[]","108165","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_DisabilityServedUnderSection504_Female_VictimTypeHarassedOrBullied","[]","[]","108172","2014"
"[]","[]","Count_Student_BiasMotivationGender_Male_HispanicOrLatino_VictimTypeHarassedOrBullied","[]","[]","108115","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceHawaiianNativeOrPacificIslander","[]","[]","108197","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Female_Asian_VictimTypeHarassedOrBullied","[]","[]","108152","2014"
"[]","[]","Count_Student_BiasMotivationGender_DisabilityServedUnderSection504_Male_VictimTypeHarassedOrBullied","[]","[]","108164","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceAsian","[]","[]","108186","2014"
"[]","[]","Count_Student_BiasMotivationGender_Female_White_VictimTypeHarassedOrBullied","[]","[]","108119","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationGenderOrRaceOrNationalOrigin_Male_VictimTypeHarassedOrBullied","[]","[]","105967","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceHispanicOrLatino","[]","[]","108153","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Female","[]","[]","106000","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceTwoOrMoreRaces","[]","[]","108166","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceAsian","[]","[]","108183","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceWhite","[]","[]","108151","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceHispanicOrLatino","[]","[]","108166","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_DisabilityServedUnderDisabilitiesEducationAct_Male_VictimTypeHarassedOrBullied","[]","[]","108111","2014"
"[]","[]","Count_Student_BiasMotivationGender_Female_HawaiianNativeOrPacificIslander_VictimTypeHarassedOrBullied","[]","[]","108188","2014"
"[]","[]","Count_Student_BiasMotivationDisability_DisabilityServedUnderDisabilitiesEducationAct_Female_VictimTypeHarassedOrBullied","[]","[]","108119","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceBlack","[]","[]","108163","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Male_HispanicOrLatino_VictimTypeHarassedOrBullied","[]","[]","108112","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceWhite","[]","[]","108152","2014"
"[]","[]","Count_Student_BiasMotivationGender_Female_AmericanIndianOrAlaskaNativeAlone_VictimTypeHarassedOrBullied","[]","[]","108171","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Female","[]","[]","108204","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Male","[]","[]","106000","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceHispanicOrLatino","[]","[]","108156","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Female_HawaiianNativeOrPacificIslander_VictimTypeHarassedOrBullied","[]","[]","108188","2014"
