"MinDate","observationPeriods","NumPlaces","StatVar","ScalingFactors","MeasurementMethods","Units"
"2014","[]","847","Count_Student_JuvenileJusticeFacility_NonIDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_MechanicalRestraint","[]","[]","[]"
"2014","[]","104485","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_AmericanIndianOrAlaskaNative_Seclusion","[]","[]","[]"
"2014","[]","104669","Count_Student_NotJuvenileJusticeFacility_IDEA_Male_TwoOrMoreRaces_Seclusion","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Male_HispanicOrLatino_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Male_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Male_HispanicOrLatino_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","103240","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Female_BlackOrAfricanAmericanAlone_PhysicalRestraint","[]","[]","[]"
"2010","[]","96653","Count_Student_NonIDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","101344","Count_Student_NonIDEA_MechanicalRestraint","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_TwoOrMoreRaces_PhysicalRestraint","[]","[]","[]"
"2014","[]","847","Count_Student_JuvenileJusticeFacility_NonIDEA_Female_BlackOrAfricanAmericanAlone_MechanicalRestraint","[]","[]","[]"
"2014","[]","103368","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Female_AmericanIndianOrAlaskaNative_MechanicalRestraint","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_IDEA_Male_BlackOrAfricanAmericanAlone_MechanicalRestraint","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Female_AmericanIndianOrAlaskaNative_PhysicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Female_Asian_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Female_HispanicOrLatino_Seclusion","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Female_BlackOrAfricanAmericanAlone_PhysicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Male_HispanicOrLatino_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_NativeHawaiianOrOtherPacificIslanderAlone_Seclusion","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Male_HispanicOrLatino_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","850","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_BlackOrAfricanAmericanAlone_Seclusion","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Male_Seclusion_SchoolGrade5","[]","[]","[]"
"2010","[]","96653","Count_Student_NonIDEA_Male_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Female_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_LimitedEnglishProficiency_Female_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_LimitedEnglishProficiency_Female_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","104222","Count_Student_NotJuvenileJusticeFacility_NonIDEA_LimitedEnglishProficiency_Female_PhysicalRestraint","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_PhysicalRestraint","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Female_TwoOrMoreRaces_PhysicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_Asian_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_LimitedEnglishProficiency_Female_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_Male_Asian_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","101344","Count_Student_NonIDEA_Seclusion","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Male_Asian_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_LimitedEnglishProficiency_Female_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","103237","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_BlackOrAfricanAmericanAlone_PhysicalRestraint","[]","[]","[]"
"2014","[]","103245","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Female_White_PhysicalRestraint","[]","[]","[]"
"2014","[]","103282","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_Asian_MechanicalRestraint","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_NonIDEA_PhysicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Female_HispanicOrLatino_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","103443","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_MechanicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_HispanicOrLatino_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Male_AmericanIndianOrAlaskaNative_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","103233","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_TwoOrMoreRaces_MechanicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Male_AmericanIndianOrAlaskaNative_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","856","Count_Student_JuvenileJusticeFacility_Section504Plan_PhysicalRestraint","[]","[]","[]"
"2014","[]","103569","Count_Student_NotJuvenileJusticeFacility_IDEA_Male_TwoOrMoreRaces_PhysicalRestraint","[]","[]","[]"
"2014","[]","104341","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Female_White_Seclusion","[]","[]","[]"
"2014","[]","863","Count_Student_JuvenileJusticeFacility_IDEA_LimitedEnglishProficiency_Male_MechanicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Female_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","864","Count_Student_JuvenileJusticeFacility_Section504Plan_Female_MechanicalRestraint","[]","[]","[]"
"2014","[]","847","Count_Student_JuvenileJusticeFacility_NonIDEA_Female_TwoOrMoreRaces_MechanicalRestraint","[]","[]","[]"
"2014","[]","103511","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_White_MechanicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Female_Asian_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Male_AmericanIndianOrAlaskaNative_PhysicalRestraint","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Female_Asian_Seclusion","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_Male_TwoOrMoreRaces_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","863","Count_Student_JuvenileJusticeFacility_Section504Plan_Male_MechanicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_Asian_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","103480","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_PhysicalRestraint","[]","[]","[]"
"2014","[]","865","Count_Student_JuvenileJusticeFacility_IDEA_LimitedEnglishProficiency_Female_PhysicalRestraint","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_IDEA_Male_NativeHawaiianOrOtherPacificIslanderAlone_MechanicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_Section504Plan_Male_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Female_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","104688","Count_Student_NotJuvenileJusticeFacility_IDEA_Male_Seclusion","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_IDEA_Female_White_MechanicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Male_TwoOrMoreRaces_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","849","Count_Student_JuvenileJusticeFacility_NonIDEA_MechanicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_Section504Plan_Male_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_Female_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","104648","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_White_Seclusion","[]","[]","[]"
"2014","[]","103424","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_NativeHawaiianOrOtherPacificIslanderAlone_MechanicalRestraint","[]","[]","[]"
"2010","[]","96653","Count_Student_NonIDEA_Female_AmericanIndianOrAlaskaNative_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Female_AmericanIndianOrAlaskaNative_Seclusion_SchoolGrade5","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Female_Asian_PhysicalRestraint","[]","[]","[]"
"2010","[]","96653","Count_Student_NonIDEA_Female_TwoOrMoreRaces_Seclusion_SchoolGrade7","[]","[]","[]"
"2014","[]","104688","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_Seclusion","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_IDEA_Female_HispanicOrLatino_MechanicalRestraint","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Male_NativeHawaiianOrOtherPacificIslanderAlone_PhysicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_White_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_Seclusion","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Female_White_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_IDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_MechanicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_Section504Plan_Male_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","103588","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_PhysicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_Section504Plan_Male_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_NonIDEA_Seclusion","[]","[]","[]"
"2014","[]","852","Count_Student_JuvenileJusticeFacility_NonIDEA_Female_BlackOrAfricanAmericanAlone_Seclusion","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_Asian_Seclusion","[]","[]","[]"
"2014","[]","104458","Count_Student_NotJuvenileJusticeFacility_Section504Plan_Male_PhysicalRestraint","[]","[]","[]"
"2010","[]","96652","Count_Student_IDEA_Female_AmericanIndianOrAlaskaNative_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","104366","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_TwoOrMoreRaces_Seclusion","[]","[]","[]"
"2014","[]","103509","Count_Student_NotJuvenileJusticeFacility_IDEA_Male_White_MechanicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Female_AmericanIndianOrAlaskaNative_Seclusion_SchoolGrade5","[]","[]","[]"
"2010","[]","96653","Count_Student_NonIDEA_Male_HispanicOrLatino_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_Female_HispanicOrLatino_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Male_HispanicOrLatino_Seclusion_SchoolGrade5","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Female_HispanicOrLatino_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_IDEA_Male_BlackOrAfricanAmericanAlone_PhysicalRestraint","[]","[]","[]"
"2010","[]","96653","Count_Student_NonIDEA_LimitedEnglishProficiency_Female_Seclusion_SchoolGrade7","[]","[]","[]"
"2014","[]","103582","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_Asian_PhysicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Female_HispanicOrLatino_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_LimitedEnglishProficiency_Female_Seclusion_SchoolGrade5","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_HispanicOrLatino_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","862","Count_Student_JuvenileJusticeFacility_NonIDEA_LimitedEnglishProficiency_Male_Seclusion","[]","[]","[]"
"2010","[]","96652","Count_Student_IDEA_Male_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_LimitedEnglishProficiency_Female_Seclusion_SchoolGrade5","[]","[]","[]"
"2010","[]","96653","Count_Student_IDEA_LimitedEnglishProficiency_Female_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Male_Seclusion_SchoolGrade5","[]","[]","[]"
"2014","[]","852","Count_Student_JuvenileJusticeFacility_NonIDEA_Female_HispanicOrLatino_Seclusion","[]","[]","[]"
"2014","[]","103548","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_AmericanIndianOrAlaskaNative_MechanicalRestraint","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_Asian_PhysicalRestraint","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_TwoOrMoreRaces_Seclusion","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Male_Asian_Seclusion_SchoolGrade5","[]","[]","[]"
"2010","[]","96652","Count_Student_IDEA_Male_Asian_Seclusion_SchoolGrade7","[]","[]","[]"
"2014","[]","104460","Count_Student_NotJuvenileJusticeFacility_Section504Plan_Male_MechanicalRestraint","[]","[]","[]"
"2014","[]","856","Count_Student_JuvenileJusticeFacility_IDEA_Seclusion","[]","[]","[]"
"2014","[]","847","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_HispanicOrLatino_MechanicalRestraint","[]","[]","[]"
"2010","[]","96652","Count_Student_IDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Male_AmericanIndianOrAlaskaNative_Seclusion_SchoolGrade5","[]","[]","[]"
"2010","[]","101344","Count_Student_Section504Plan_Seclusion","[]","[]","[]"
"2014","[]","104398","Count_Student_NotJuvenileJusticeFacility_Section504Plan_Seclusion","[]","[]","[]"
"2010","[]","96653","Count_Student_NonIDEA_Male_AmericanIndianOrAlaskaNative_Seclusion_SchoolGrade7","[]","[]","[]"
"2014","[]","847","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_Asian_MechanicalRestraint","[]","[]","[]"
"2014","[]","862","Count_Student_JuvenileJusticeFacility_NonIDEA_LimitedEnglishProficiency_Female_MechanicalRestraint","[]","[]","[]"
"2014","[]","851","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_White_Seclusion","[]","[]","[]"
"2010","[]","96653","Count_Student_NonIDEA_Female_Asian_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Female_Asian_Seclusion_SchoolGrade5","[]","[]","[]"
"2014","[]","103502","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_BlackOrAfricanAmericanAlone_MechanicalRestraint","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Female_Seclusion","[]","[]","[]"
"2014","[]","103250","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Female_HispanicOrLatino_PhysicalRestraint","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Male_AmericanIndianOrAlaskaNative_Seclusion","[]","[]","[]"
"2010","[]","101344","Count_Student_Section504Plan_PhysicalRestraint","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_IDEA_Male_MechanicalRestraint","[]","[]","[]"
"2010","[]","96652","Count_Student_IDEA_Male_NativeHawaiianOrOtherPacificIslanderAlone_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_TwoOrMoreRaces_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_IDEA_Male_White_MechanicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_LimitedEnglishProficiency_Male_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Female_White_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Male_HispanicOrLatino_PhysicalRestraint","[]","[]","[]"
"2014","[]","103457","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Female_MechanicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_LimitedEnglishProficiency_Male_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Male_AmericanIndianOrAlaskaNative_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_Male_AmericanIndianOrAlaskaNative_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","103585","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_AmericanIndianOrAlaskaNative_PhysicalRestraint","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_IDEA_Female_BlackOrAfricanAmericanAlone_MechanicalRestraint","[]","[]","[]"
