"ScalingFactors","MinDate","NumPlaces","observationPeriods","MeasurementMethods","Units","StatVar"
"[]","1998","202","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_2_GPV"
"[]","1998","139","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GGR_2_GPI"
"[]","1998","155","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F400"
"[]","1995","131","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_EA_1T6_AG25T99_GPI"
"[]","1997","227","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_3_GPV"
"[]","1998","116","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_ECDP_1"
"[]","1970","179","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G1_F"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_51_01_08_primcomp"
"[]","1997","218","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GOER_56"
"[]","1970","89","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_G3_T"
"[]","1999","114","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_T_5_B"
"[]","1998","126","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_PPP_2_FSGOV"
"[]","1998","151","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F400_F"
"[]","1970","217","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NIRA_1"
"[]","1998","150","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_USCONST_1_FSGOV"
"[]","1998","151","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F400_M"
"[]","1970","127","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G6"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/2_01_01_02_nabase"
"[]","1970","149","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G5"
"[]","1998","152","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_56_F700"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/2_04_01_01_excncpt"
"[]","1970","145","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G5"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_51_01_02_malnut"
"[]","1998","178","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_02_PR_F"
"[]","1970","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_AIR_2_GPV_GPI"
"[]","1970","167","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G4"
"[]","1970","189","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G3"
"[]","1970","189","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G2"
"[]","1970","191","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G1"
"[]","1998","145","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NIR_1_AGM1_GPI"
"[]","1998","139","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FGP_56_F400500"
"[]","1997","227","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GTVP_2_GPV_F"
"[]","1970","179","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G2"
"[]","1997","227","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GTVP_2_GPV_M"
"[]","1970","179","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G1"
"[]","1970","161","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G4"
"[]","1970","173","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G3"
"[]","1970","181","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G3"
"[]","1998","150","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F700_F"
"[]","1970","187","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G1_M"
"[]","1970","181","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G2"
"[]","1998","150","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_PPP_23_FSGOV"
"[]","1970","160","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G5"
"[]","1970","180","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G4"
"[]","1970","181","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G2_M"
"[]","1970","181","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G1"
"[]","1985","200","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SLEN_12_F"
"[]","1985","200","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SLEN_12_M"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/2_01_03_01_prcpbase"
"[]","1998","145","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_PPPCONST_56_FSGOV"
"[]","1998","143","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_56_F600"
"[]","1970","141","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G6"
"[]","1998","137","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSGP_56_F400_M"
"[]","1985","202","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SLEN_12_T"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/3_02_01_02_fscov"
"[]","1970","205","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_ESL_1_F"
"[]","1998","153","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F700"
"[]","1970","193","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_0_PR_T"
"[]","1998","150","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F700_M"
"[]","1970","171","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G3_M"
"[]","1970","189","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G1_F"
"[]","1970","180","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G2_F"
"[]","1970","205","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_ESL_1_M"
"[]","1970","170","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G3_F"
"[]","1998","140","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_OFSPPT_1_F"
"[]","1970","77","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G7_F"
"[]","1998","133","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_ROFSPPT_1_F"
"[]","1997","227","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_GPV_F"
"[]","1970","214","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NER_1_GPI"
"[]","1998","124","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSGP_56_F800_M"
"[]","1998","166","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/XGDP_23_FSGOV_FDINSTADM_FFD"
"[]","1998","133","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_ROFSPPT_1_M"
"[]","1998","140","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_OFSPPT_1_M"
"[]","1998","156","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NERA_3_GPI"
"[]","1970","186","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_AIR_2_GPV"
"[]","1998","153","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F140_F"
"[]","1998","172","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NER_2_M"
"[]","1998","187","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_02_PU"
"[]","1998","172","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NER_2_F"
"[]","1970","198","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_02_PR"
"[]","1970","216","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NIRA_1_GPI"
"[]","1997","216","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_23_PR"
"[]","1998","153","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F140_M"
"[]","1999","114","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NE_1_ECD"
"[]","1999","143","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_G_5_B_F"
"[]","1998","154","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_US_56_FSGOV"
"[]","1970","187","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G2_M"
"[]","1985","200","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SLEN_12_GPI"
"[]","1970","186","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SR_2_GPV_GLAST_CP_T"
"[]","1970","179","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G3_M"
"[]","1998","164","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XGOVEXP_IMF_23"
"[]","1970","185","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G2_F"
"[]","1997","227","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_GPV"
"[]","1998","155","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_56_F500"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_21_01_01_sdds"
"[]","1998","148","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TEP_8_M"
"[]","1998","147","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F600"
"[]","1970","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_M"
"[]","1970","200","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_OAEP_1_M"
"[]","1999","150","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_G_5_B_T"
"[]","1998","156","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F300_F"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_13_01_01_who"
"[]","1998","131","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_56_FUK"
"[]","1999","178","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_T_23_GPV"
"[]","1970","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_F"
"[]","1970","200","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_OAEP_1_F"
"[]","1970","190","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G6_F"
"[]","1997","118","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_V_F"
"[]","1970","180","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G3_F"
"[]","1998","156","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F300_M"
"[]","1998","157","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_56_FOREIGN"
"[]","1970","178","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G2_M"
"[]","1970","177","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G2_F"
"[]","1997","193","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_5_B"
"[]","1998","87","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_GDPCAP_4_FSGOV"
"[]","1999","109","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_T_5_B_F"
"[]","1998","158","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_0_PR_F"
"[]","1998","164","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/XGDP_56_FSGOV_FDINSTADM_FFD"
"[]","1999","143","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_T_23_V_F"
"[]","1970","209","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_ESL_1_T"
"[]","1999","190","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_PR"
"[]","1970","186","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_T"
"[]","1998","147","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TEP_8_F"
"[]","1998","122","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TRTP_1_GPI"
"[]","1999","200","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_PU"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/3_11_01_01_popcen"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/3_01_04_01_agcen"
"[]","1998","117","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FGP_8"
"[]","1998","142","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSGP_56_F300_M"
"[]","1970","163","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_LR_AG25T64_GPI"
"[]","1970","179","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G4_M"
"[]","1999","85","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_GPV_G4_T"
"[]","1970","191","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TE_100000_56_M"
"[]","1998","151","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_56_F400"
"[]","1998","164","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_UAPP_23_M"
"[]","1970","227","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NE_1_G1_F"
"[]","1999","85","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_GPV_G4_F"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_04_01_01_exdebt"
"[]","1997","192","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_5_B"
"[]","1970","210","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G5_F"
"[]","1970","179","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G4_F"
"[]","1970","138","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G5_M"
"[]","1981","197","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_PTRHC_3"
"[]","1970","225","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FNP_1"
"[]","1981","201","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_PTRHC_2"
"[]","1998","135","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSGP_56_F500_M"
"[]","1970","227","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GTVP_23_GPV_F"
"[]","1998","157","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NER_3"
"[]","1995","139","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_EA_3T6_AG25T99_GPI"
"[]","1998","200","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NER_2"
"[]","1970","173","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NERA_2_F"
"[]","1970","136","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G5_F"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_01_01_01_indust"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_12_01_01_unesco"
"[]","1970","200","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_GPI"
"[]","1998","73","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GTVP_4_GPV_F"
"[]","1970","168","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_OAPP_1_M"
"[]","1998","141","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_OFSPPT_1"
"[]","1998","167","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XGOVEXP_IMF_56"
"[]","1970","194","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NER_23_GPI"
"[]","1998","147","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_USCONST_56_FSGOV"
"[]","1970","173","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NERA_2_M"
"[]","1998","130","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_4_PR"
"[]","1999","186","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_23_PR_F"
"[]","1998","73","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GTVP_4_GPV_M"
"[]","1998","134","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_FUK"
"[]","1998","129","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XPUBP_2"
"[]","1970","228","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NE_1_G1"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_51_01_05_hiv"
"[]","1998","182","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_02_PU_F"
"[]","1998","170","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_UAPP_1_M"
"[]","1998","165","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_UAPP_23"
"[]","1998","134","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XPUBP_3"
"[]","1999","112","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NE_1_ECD_F"
"[]","1970","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SR_2_GPV_GLAST_CP_F"
"[]","1998","135","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_ROFSPPT_1"
"[]","1998","132","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_US_2_FSGOV"
"[]","1970","227","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GTVP_23_GPV_M"
"[]","1970","168","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_OAPP_1_F"
"[]","1998","170","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_UAPP_1_F"
"[]","1970","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SR_2_GPV_GLAST_GPI"
"[]","1970","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SR_2_GPV_GLAST_CP_M"
"[]","1998","113","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_ECDP_1_GPI"
"[]","1970","217","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GER_0_GPI"
"[]","1998","141","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FGP_5_B"
"[]","1998","139","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GGR_2_F"
"[]","1997","224","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GTVP_3_GPV_F"
"[]","1970","158","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G5_M"
"[]","1998","153","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F200_F"
